techs,carriers,systemwide_capacity_factor
coal_AUS,oil,0.0
coal_AUS,uranium,0.0
coal_COL,coal,0.8455320317757586
coal_COL,electricity,0.0
coal_COL,natural_gas,0.0
coal_COL,oil,0.0
coal_COL,uranium,0.0
coal_ITA,coal,0.8469908172617705
coal_ITA,electricity,0.0
coal_ITA,natural_gas,0.0
coal_ITA,oil,0.0
coal_ITA,uranium,0.0
coal_RUS,coal,0.8490586906171732
coal_RUS,electricity,0.0
coal_RUS,natural_gas,0.0
coal_RUS,oil,0.0
coal_RUS,uranium,0.0
coal_USA,coal,0.8899157479821237
coal_USA,electricity,0.0
coal_USA,natural_gas,0.0
coal_USA,oil,0.0
coal_USA,uranium,0.0
demand_tech,coal,0.0
demand_tech,electricity,0.0
demand_tech,natural_gas,0.0
demand_tech,oil,0.0
demand_tech,uranium,0.0
el_import_FR,coal,0.0
el_import_FR,electricity,0.47106188485840156
el_import_FR,natural_gas,0.0
el_import_FR,oil,0.0
el_import_FR,uranium,0.0
el_import_MA,coal,0.0
el_import_MA,electricity,0.0
el_import_MA,natural_gas,0.0
el_import_MA,oil,0.0
el_import_MA,uranium,0.0
el_import_PT,coal,0.0
el_import_PT,electricity,0.9140706333833105
el_import_PT,natural_gas,0.0
el_import_PT,oil,0.0
el_import_PT,uranium,0.0
existing_biogas_to_electricity_supply,coal,0.0
existing_biogas_to_electricity_supply,electricity,0.8886943010593508
existing_biogas_to_electricity_supply,natural_gas,0.0
existing_biogas_to_electricity_supply,oil,0.0
existing_biogas_to_electricity_supply,uranium,0.0
existing_biomass,coal,0.0
existing_biomass,electricity,0.8950069219673218
existing_biomass,natural_gas,0.0
existing_biomass,oil,0.0
existing_biomass,uranium,0.0
existing_ccgt,coal,0.0
existing_ccgt,electricity,0.2951310053026299
existing_ccgt,natural_gas,0.0
existing_ccgt,oil,0.0
existing_ccgt,uranium,0.0
existing_chp,coal,0.0
existing_chp,electricity,0.014566605610525208
existing_chp,natural_gas,0.0
existing_chp,oil,0.0
existing_chp,uranium,0.0
