nodes,techs,carriers,definition_matrix
ESP_1,biogas_to_electricity_supply_CAN,electricity,True
ESP_1,biogas_to_electricity_supply_CAN,natural_gas,False
ESP_1,biogas_to_electricity_supply_CAN,oil,False
ESP_1,biogas_to_electricity_supply_CAN,uranium,False
ESP_1,biogas_to_electricity_supply_FR,coal,False
ESP_1,biogas_to_electricity_supply_FR,electricity,True
ESP_1,biogas_to_electricity_supply_FR,natural_gas,False
ESP_1,biogas_to_electricity_supply_FR,oil,False
ESP_1,biogas_to_electricity_supply_FR,uranium,False
ESP_1,biogas_to_electricity_supply_FSM,coal,False
ESP_1,biogas_to_electricity_supply_FSM,electricity,True
ESP_1,biogas_to_electricity_supply_FSM,natural_gas,False
ESP_1,biogas_to_electricity_supply_FSM,oil,False
ESP_1,biogas_to_electricity_supply_FSM,uranium,False
ESP_1,biogas_to_electricity_supply_UK,coal,False
ESP_1,biogas_to_electricity_supply_UK,electricity,True
ESP_1,biogas_to_electricity_supply_UK,natural_gas,False
ESP_1,biogas_to_electricity_supply_UK,oil,False
ESP_1,biogas_to_electricity_supply_UK,uranium,False
ESP_1,biogas_to_electricity_supply_USA,coal,False
ESP_1,biogas_to_electricity_supply_USA,electricity,True
ESP_1,biogas_to_electricity_supply_USA,natural_gas,False
ESP_1,biogas_to_electricity_supply_USA,oil,False
ESP_1,biogas_to_electricity_supply_USA,uranium,False
ESP_1,biomass_ESP,coal,False
ESP_1,biomass_ESP,electricity,True
ESP_1,biomass_ESP,natural_gas,False
ESP_1,biomass_ESP,oil,False
ESP_1,biomass_ESP,uranium,False
ESP_1,biomass_FR,coal,False
ESP_1,biomass_FR,electricity,True
ESP_1,biomass_FR,natural_gas,False
ESP_1,biomass_FR,oil,False
ESP_1,biomass_FR,uranium,False
ESP_1,biomass_IT,coal,False
ESP_1,biomass_IT,electricity,True
ESP_1,biomass_IT,natural_gas,False
ESP_1,biomass_IT,oil,False
ESP_1,biomass_IT,uranium,False
ESP_1,coal_AUS,coal,False
ESP_1,coal_AUS,electricity,False
ESP_1,coal_AUS,natural_gas,False
ESP_1,coal_AUS,oil,False
ESP_1,coal_AUS,uranium,False
ESP_1,coal_COL,coal,False
ESP_1,coal_COL,electricity,False
ESP_1,coal_COL,natural_gas,False
ESP_1,coal_COL,oil,False
ESP_1,coal_COL,uranium,False
ESP_1,coal_ITA,coal,False
ESP_1,coal_ITA,electricity,False
ESP_1,coal_ITA,natural_gas,False
ESP_1,coal_ITA,oil,False
ESP_1,coal_ITA,uranium,False
ESP_1,coal_RUS,coal,False
ESP_1,coal_RUS,electricity,False
ESP_1,coal_RUS,natural_gas,False
ESP_1,coal_RUS,oil,False
ESP_1,coal_RUS,uranium,False
ESP_1,coal_USA,coal,False
ESP_1,coal_USA,electricity,False
ESP_1,coal_USA,natural_gas,False
ESP_1,coal_USA,oil,False
ESP_1,coal_USA,uranium,False
ESP_1,demand_tech,coal,False
ESP_1,demand_tech,electricity,True
ESP_1,demand_tech,natural_gas,False
ESP_1,demand_tech,oil,False
ESP_1,demand_tech,uranium,False
ESP_1,el_import_FR,coal,False
ESP_1,el_import_FR,electricity,False
ESP_1,el_import_FR,natural_gas,False
ESP_1,el_import_FR,oil,False
ESP_1,el_import_FR,uranium,False
ESP_1,el_import_MA,coal,False
ESP_1,el_import_MA,electricity,False
ESP_1,el_import_MA,natural_gas,False
ESP_1,el_import_MA,oil,False
ESP_1,el_import_MA,uranium,False
ESP_1,el_import_PT,coal,False
ESP_1,el_import_PT,electricity,False
ESP_1,el_import_PT,natural_gas,False
ESP_1,el_import_PT,oil,False
ESP_1,el_import_PT,uranium,False
ESP_1,existing_biogas_to_electricity_supply,coal,False
ESP_1,existing_biogas_to_electricity_supply,electricity,True
