nodes,techs,carriers,timesteps,flow_in_inc_eff
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 18:00:00,8.850676529264184e-06
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-09 21:00:00,1.2601654432359913e-05
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 00:00:00,16.021694002381164
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 03:00:00,16.321243140563645
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 06:00:00,15.87483986192209
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 09:00:00,13.052978581965231
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 12:00:00,1226.4310875453994
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 15:00:00,465.98615403046597
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 18:00:00,15.694438957063937
ESP_1,ESP_1_PRT_1_ac_ohl_transmission,electricity,2018-01-10 21:00:00,15.78368896401912
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-01 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 06:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 09:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 12:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 15:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 18:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-02 21:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 00:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 03:00:00,0.0
ESP_1,Trade_Markets_ESP_1_coal_transmission,coal,2018-01-03 06:00:00,0.0
