techs,carriers,systemwide_capacity_factor
existing_coal,natural_gas,0.0
existing_coal,oil,0.0
existing_coal,uranium,0.0
existing_hydro_reservoir,coal,0.0
existing_hydro_reservoir,electricity,0.03898663023459994
existing_hydro_reservoir,natural_gas,0.0
existing_hydro_reservoir,oil,0.0
existing_hydro_reservoir,uranium,0.0
existing_hydro_run_of_river,coal,0.0
existing_hydro_run_of_river,electricity,0.005213597131541844
existing_hydro_run_of_river,natural_gas,0.0
existing_hydro_run_of_river,oil,0.0
existing_hydro_run_of_river,uranium,0.0
existing_nuclear,coal,0.0
existing_nuclear,electricity,0.9044182383517233
existing_nuclear,natural_gas,0.0
existing_nuclear,oil,0.0
existing_nuclear,uranium,0.0
existing_oil_and_other,coal,0.0
existing_oil_and_other,electricity,3.7670429571791653e-07
existing_oil_and_other,natural_gas,0.0
existing_oil_and_other,oil,0.0
existing_oil_and_other,uranium,0.0
existing_open_field_pv,coal,0.0
existing_open_field_pv,electricity,0.9818353889068313
existing_open_field_pv,natural_gas,0.0
existing_open_field_pv,oil,0.0
existing_open_field_pv,uranium,0.0
existing_pumped_hydro,coal,0.0
existing_pumped_hydro,electricity,0.5081149948992638
existing_pumped_hydro,natural_gas,0.0
existing_pumped_hydro,oil,0.0
existing_pumped_hydro,uranium,0.0
existing_rooftop_pv,coal,0.0
existing_rooftop_pv,electricity,0.892423314169813
existing_rooftop_pv,natural_gas,0.0
existing_rooftop_pv,oil,0.0
existing_rooftop_pv,uranium,0.0
existing_wind_onshore,coal,0.0
existing_wind_onshore,electricity,0.474965309311273
existing_wind_onshore,natural_gas,0.0
existing_wind_onshore,oil,0.0
existing_wind_onshore,uranium,0.0
existing_wte,coal,0.0
existing_wte,electricity,0.5687804117533044
existing_wte,natural_gas,0.0
existing_wte,oil,0.0
existing_wte,uranium,0.0
natural_gas_DEU,coal,0.0
natural_gas_DEU,electricity,0.0
natural_gas_DEU,natural_gas,0.0
natural_gas_DEU,oil,0.0
natural_gas_DEU,uranium,0.0
natural_gas_DNK,coal,0.0
natural_gas_DNK,electricity,0.0
natural_gas_DNK,natural_gas,0.0
natural_gas_DNK,oil,0.0
natural_gas_DNK,uranium,0.0
natural_gas_DZA,coal,0.0
natural_gas_DZA,electricity,0.0
natural_gas_DZA,natural_gas,0.030448268801649348
natural_gas_DZA,oil,0.0
natural_gas_DZA,uranium,0.0
natural_gas_NOR,coal,0.0
natural_gas_NOR,electricity,0.0
natural_gas_NOR,natural_gas,0.0
natural_gas_NOR,oil,0.0
natural_gas_NOR,uranium,0.0
natural_gas_PT,coal,0.0
natural_gas_PT,electricity,0.0
natural_gas_PT,natural_gas,0.0
natural_gas_PT,oil,0.0
natural_gas_PT,uranium,0.0
natural_gas_liquid_DZA,coal,0.0
natural_gas_liquid_DZA,electricity,0.0
natural_gas_liquid_DZA,natural_gas,0.0
natural_gas_liquid_DZA,oil,0.0
natural_gas_liquid_DZA,uranium,0.0
natural_gas_liquid_NGA,coal,0.0
natural_gas_liquid_NGA,electricity,0.0
natural_gas_liquid_NGA,natural_gas,0.0
natural_gas_liquid_NGA,oil,0.0
natural_gas_liquid_NGA,uranium,0.0
natural_gas_liquid_QAT,coal,0.0
natural_gas_liquid_QAT,electricity,0.0
natural_gas_liquid_QAT,natural_gas,0.0
natural_gas_liquid_QAT,oil,0.0
natural_gas_liquid_QAT,uranium,0.0
natural_gas_liquid_RUS,coal,0.0
natural_gas_liquid_RUS,electricity,0.0
natural_gas_liquid_RUS,natural_gas,0.0
natural_gas_liquid_RUS,oil,0.0
natural_gas_liquid_RUS,uranium,0.0
natural_gas_liquid_USA,coal,0.0
natural_gas_liquid_USA,electricity,0.0
natural_gas_liquid_USA,natural_gas,0.0
natural_gas_liquid_USA,oil,0.0
natural_gas_liquid_USA,uranium,0.0
oil_LBY,coal,0.0
oil_LBY,electricity,0.0
oil_LBY,natural_gas,0.0
oil_LBY,oil,0.0
oil_LBY,uranium,0.0
oil_MEX,coal,0.0
oil_MEX,electricity,0.0
oil_MEX,natural_gas,0.0
oil_MEX,oil,0.8047123839651429
oil_MEX,uranium,0.0
oil_NGA,coal,0.0
oil_NGA,electricity,0.0
oil_NGA,natural_gas,0.0
oil_NGA,oil,0.0
oil_NGA,uranium,0.0
oil_SA,coal,0.0
oil_SA,electricity,0.0
oil_SA,natural_gas,0.0
oil_SA,oil,0.0
oil_SA,uranium,0.0
oil_USA,coal,0.0
oil_USA,electricity,0.0
oil_USA,natural_gas,0.0
oil_USA,oil,0.0
oil_USA,uranium,0.0
open_field_pv_CN,coal,0.0
open_field_pv_CN,electricity,0.0004391127085275842
open_field_pv_CN,natural_gas,0.0
open_field_pv_CN,oil,0.0
open_field_pv_CN,uranium,0.0
open_field_pv_DE,coal,0.0
open_field_pv_DE,electricity,0.9136436139826756
open_field_pv_DE,natural_gas,0.0
open_field_pv_DE,oil,0.0
open_field_pv_DE,uranium,0.0
open_field_pv_ESP,coal,0.0
open_field_pv_ESP,electricity,0.6869692991476256
open_field_pv_ESP,natural_gas,0.0
